# kana-corpus.tsv — generated by scripts/generate-corpus.mjs; do not edit by hand.
# Columns: id	category	row	hiragana	katakana	romaji(pipe-separated, first = canonical)
# 118 entries
id	category	row	hiragana	katakana	romaji
001	gojuon	a	あ	ア	a
002	gojuon	a	い	イ	i
003	gojuon	a	う	ウ	u
004	gojuon	a	え	エ	e
005	gojuon	a	お	オ	o
006	gojuon	ka	か	カ	ka
007	gojuon	ka	き	キ	ki
008	gojuon	ka	く	ク	ku
009	gojuon	ka	け	ケ	ke
010	gojuon	ka	こ	コ	ko
011	gojuon	sa	さ	サ	sa
012	gojuon	sa	し	シ	shi|si|ci
013	gojuon	sa	す	ス	su
014	gojuon	sa	せ	セ	se
015	gojuon	sa	そ	ソ	so
016	gojuon	ta	た	タ	ta
017	gojuon	ta	ち	チ	chi|ti
018	gojuon	ta	つ	ツ	tsu|tu
019	gojuon	ta	て	テ	te
020	gojuon	ta	と	ト	to
021	gojuon	na	な	ナ	na
022	gojuon	na	に	ニ	ni
023	gojuon	na	ぬ	ヌ	nu
024	gojuon	na	ね	ネ	ne
025	gojuon	na	の	ノ	no
026	gojuon	ha	は	ハ	ha
027	gojuon	ha	ひ	ヒ	hi
028	gojuon	ha	ふ	フ	fu|hu
029	gojuon	ha	へ	ヘ	he
030	gojuon	ha	ほ	ホ	ho
031	gojuon	ma	ま	マ	ma
032	gojuon	ma	み	ミ	mi
033	gojuon	ma	む	ム	mu
034	gojuon	ma	め	メ	me
035	gojuon	ma	も	モ	mo
036	gojuon	ya	や	ヤ	ya
037	gojuon	ya	ゆ	ユ	yu
038	gojuon	ya	よ	ヨ	yo
039	gojuon	ra	ら	ラ	ra
040	gojuon	ra	り	リ	ri
041	gojuon	ra	る	ル	ru
042	gojuon	ra	れ	レ	re
043	gojuon	ra	ろ	ロ	ro
044	gojuon	wa	わ	ワ	wa
045	gojuon	wa	を	ヲ	wo
046	gojuon	wa	ん	ン	n|nn|n'
047	dakuten	ga	が	ガ	ga
048	dakuten	ga	ぎ	ギ	gi
049	dakuten	ga	ぐ	グ	gu
050	dakuten	ga	げ	ゲ	ge
051	dakuten	ga	ご	ゴ	go
052	dakuten	za	ざ	ザ	za
053	dakuten	za	じ	ジ	ji|zi
054	dakuten	za	ず	ズ	zu
055	dakuten	za	ぜ	ゼ	ze
056	dakuten	za	ぞ	ゾ	zo
057	dakuten	da	だ	ダ	da
058	dakuten	da	ぢ	ヂ	di|dji
059	dakuten	da	づ	ヅ	du|dzu
060	dakuten	da	で	デ	de
061	dakuten	da	ど	ド	do
062	dakuten	ba	ば	バ	ba
063	dakuten	ba	び	ビ	bi
064	dakuten	ba	ぶ	ブ	bu
065	dakuten	ba	べ	ベ	be
066	dakuten	ba	ぼ	ボ	bo
067	dakuten	va	ゔ	ヴ	vu
068	handakuten	pa	ぱ	パ	pa
069	handakuten	pa	ぴ	ピ	pi
070	handakuten	pa	ぷ	プ	pu
071	handakuten	pa	ぺ	ペ	pe
072	handakuten	pa	ぽ	ポ	po
073	small	small	ぁ	ァ	xa|la
074	small	small	ぃ	ィ	xi|li
075	small	small	ぅ	ゥ	xu|lu
076	small	small	ぇ	ェ	xe|le
077	small	small	ぉ	ォ	xo|lo
078	small	small	っ	ッ	xtu|ltu|xtsu|ltsu
079	small	small	ゃ	ャ	xya|lya
080	small	small	ゅ	ュ	xyu|lyu
081	small	small	ょ	ョ	xyo|lyo
082	small	small	ゎ	ヮ	xwa|lwa
083	yoon	ky	きゃ	キャ	kya
084	yoon	ky	きゅ	キュ	kyu
085	yoon	ky	きょ	キョ	kyo
086	yoon	sh	しゃ	シャ	sha|sya
087	yoon	sh	しゅ	シュ	shu|syu
088	yoon	sh	しょ	ショ	sho|syo
089	yoon	ch	ちゃ	チャ	cha|tya|cya
090	yoon	ch	ちゅ	チュ	chu|tyu|cyu
091	yoon	ch	ちょ	チョ	cho|tyo|cyo
092	yoon	ny	にゃ	ニャ	nya
093	yoon	ny	にゅ	ニュ	nyu
094	yoon	ny	にょ	ニョ	nyo
095	yoon	hy	ひゃ	ヒャ	hya
096	yoon	hy	ひゅ	ヒュ	hyu
097	yoon	hy	ひょ	ヒョ	hyo
098	yoon	my	みゃ	ミャ	mya
099	yoon	my	みゅ	ミュ	myu
100	yoon	my	みょ	ミョ	myo
101	yoon	ry	りゃ	リャ	rya
102	yoon	ry	りゅ	リュ	ryu
103	yoon	ry	りょ	リョ	ryo
104	yoon	gy	ぎゃ	ギャ	gya
105	yoon	gy	ぎゅ	ギュ	gyu
106	yoon	gy	ぎょ	ギョ	gyo
107	yoon	j	じゃ	ジャ	ja|jya|zya
108	yoon	j	じゅ	ジュ	ju|jyu|zyu
109	yoon	j	じょ	ジョ	jo|jyo|zyo
110	yoon	dy	ぢゃ	ヂャ	dya
111	yoon	dy	ぢゅ	ヂュ	dyu
112	yoon	dy	ぢょ	ヂョ	dyo
113	yoon	by	びゃ	ビャ	bya
114	yoon	by	びゅ	ビュ	byu
115	yoon	by	びょ	ビョ	byo
116	yoon	py	ぴゃ	ピャ	pya
117	yoon	py	ぴゅ	ピュ	pyu
118	yoon	py	ぴょ	ピョ	pyo
